[2020-07-03T21:13:54+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 89de49d4f2; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2020-07-03T21:14:18+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 89de49d4f2; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-07-03T21:31:52+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 89de49d4f2; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-07-03T22:52:29+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 89de49d4f2; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-07-03T22:52:29+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 89de49d4f2; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-07-04T00:10:01+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 89de49d4f2; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-07-04T00:10:02+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 89de49d4f2; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-07-04T01:59:50+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 89de49d4f2; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-07-04T01:59:50+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 89de49d4f2; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-07-07T16:53:37+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 2105030890; save: fintech; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-07-07T16:53:38+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 2105030890; save: fintech; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-07-07T17:24:27+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 2105030890; save: fintech; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-07-07T17:24:27+0300] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 2105030890; save: fintech; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
